no. of inhabitants,count,relative
42821,1,1.2987
45714,1,1.2987
51313,1,1.2987
51428,1,1.2987
53921,1,1.2987
58400,1,1.2987
58796,1,1.2987
67298,1,1.2987
70646,1,1.2987
70699,1,1.2987
72541,1,1.2987
74062,1,1.2987
75232,1,1.2987
75637,1,1.2987
75685,1,1.2987
77917,1,1.2987
77963,1,1.2987
78955,1,1.2987
81344,1,1.2987
85852,1,1.2987
86513,1,1.2987
87419,1,1.2987
88757,1,1.2987
88768,1,1.2987
88884,1,1.2987
92084,1,1.2987
93931,1,1.2987
94725,1,1.2987
94812,1,1.2987
95616,1,1.2987
95907,1,1.2987
102609,1,1.2987
103347,1,1.2987
105058,1,1.2987
105606,1,1.2987
106054,1,1.2987
107870,1,1.2987
107911,1,1.2987
108871,1,1.2987
109164,1,1.2987
110643,1,1.2987
112065,1,1.2987
112709,1,1.2987
114006,1,1.2987
114200,1,1.2987
117897,1,1.2987
118650,1,1.2987
119895,1,1.2987
121947,1,1.2987
122603,1,1.2987
124605,1,1.2987
125236,1,1.2987
125832,1,1.2987
127369,1,1.2987
128118,1,1.2987
133777,1,1.2987
138032,1,1.2987
139012,1,1.2987
145688,1,1.2987
148545,1,1.2987
149893,1,1.2987
157042,1,1.2987
159617,1,1.2987
161227,1,1.2987
161854,1,1.2987
161954,1,1.2987
162580,1,1.2987
170449,1,1.2987
177686,1,1.2987
182027,1,1.2987
197099,1,1.2987
226122,1,1.2987
228848,1,1.2987
285387,1,1.2987
323870,1,1.2987
387570,1,1.2987
1204953,1,1.2987
